,material_id,band_gap,is_gap_direct,symmetry.crystal_system
32879,mp-fecfi,0.07350000000000001,False,monoclinic
32880,mp-brguu,1.693299999999999,True,cubic
32881,mp-bscmd,1.8022,True,hexagonal
32882,mp-bsecp,1.3471,False,trigonal
32883,mp-bqzpx,0.0002,True,monoclinic
32884,mp-brbhn,3.6888,False,trigonal
32885,mp-bmhuq,0.40039999999999903,False,triclinic
32886,mp-flvuj,0.227,False,triclinic
32887,mp-brtqw,0.232299999999999,False,monoclinic
32888,mp-csxvg,2.1366,False,orthorhombic
32889,mp-brytx,1.2192,False,trigonal
32890,mp-brzhe,1.326299999999999,True,cubic
32891,mp-bseya,0.15050000000000002,False,monoclinic
32892,mp-bsgkw,1.494399999999999,False,hexagonal
32893,mp-cqxtf,3.6948,True,orthorhombic
32894,mp-cpkyk,0.134999999999999,False,cubic
32895,mp-bqwvq,4.7267,True,monoclinic
32896,mp-bqwgb,2.9458,False,orthorhombic
32897,mp-brfxm,2.1508,False,monoclinic
32898,mp-brpeh,3.118,False,triclinic
32899,mp-brpeu,3.8553,False,triclinic
32900,mp-bmsj,4.6885,False,monoclinic
32901,mp-bmtn,4.5637,False,orthorhombic
32902,mp-brcpb,4.5107,False,monoclinic
32903,mp-brcua,3.5893,False,triclinic
32904,mp-brimh,4.5441,False,monoclinic
32905,mp-brxry,3.3026,False,triclinic
32906,mp-bwzqe,4.6402,False,monoclinic
32907,mp-bxdgq,4.5366,False,monoclinic
32908,mp-bmfx,1.1216,False,monoclinic
32909,mp-brois,0.16770000000000002,False,monoclinic
32910,mp-bsdcj,0.6484999999999991,False,triclinic
32911,mp-bfwsq,4.045400000000001,True,orthorhombic
32912,mp-cqxzr,2.964299999999999,False,orthorhombic
32913,mp-brnlp,3.6558,True,orthorhombic
32914,mp-brsze,3.5674,True,monoclinic
32915,mp-brtky,3.8594,True,orthorhombic
32916,mp-dlhjy,0.8308999999999991,False,orthorhombic
32917,mp-crpqz,4.2989,False,triclinic
32918,mp-dphfj,0.669,False,orthorhombic
32919,mp-brbxh,0.550399999999999,False,triclinic
32920,mp-bscdh,0.6301999999999991,False,orthorhombic
32921,mp-bmlr,4.0597,False,monoclinic
32922,mp-bvxz,3.763,False,triclinic
32923,mp-broji,3.6163,False,triclinic
32924,mp-bwwxf,3.7211,False,monoclinic
32925,mp-cupdl,0.7894999999999991,False,trigonal
32926,mp-brwmu,0.3325,False,cubic
32927,mp-bqwqt,2.517699999999999,False,tetragonal
32928,mp-bqwou,3.6759999999999993,False,triclinic
32929,mp-cweyg,0.6613,False,trigonal
32930,mp-cwivo,0.208099999999999,False,monoclinic
32931,mp-cwjam,0.5522,False,trigonal
32932,mp-brynd,0.4746,False,trigonal
32933,mp-bscet,0.225499999999999,False,cubic
32934,mp-cuocs,0.041399999999999,False,triclinic
32935,mp-cuwgz,0.48360000000000003,False,monoclinic
32936,mp-cwffp,0.04429999999999901,False,triclinic
32937,mp-cwvfa,0.5425,False,monoclinic
32938,mp-brhko,0.540299999999999,True,tetragonal
32939,mp-cuwgk,0.207799999999999,False,monoclinic
32940,mp-brdhu,0.5263,False,monoclinic
32941,mp-cpakw,0.261099999999999,True,tetragonal
32942,mp-cpaob,0.590399999999999,False,orthorhombic
32943,mp-brnzs,3.3502,False,monoclinic
32944,mp-bodmv,3.3233,False,monoclinic
32945,mp-bnvl,3.6441,False,triclinic
32946,mp-bqxmh,1.3688999999999991,False,orthorhombic
32947,mp-brwkv,1.0822,False,monoclinic
32948,mp-brwqy,1.297399999999999,True,orthorhombic
32949,mp-brwtl,3.5267,False,monoclinic
32950,mp-caxj,5.1236,False,orthorhombic
32951,mp-bgas,3.291899999999999,True,cubic
32952,mp-cqxhp,2.9925,True,orthorhombic
32953,mp-brxne,4.845099999999999,False,monoclinic
32954,mp-brxxc,4.422000000000001,False,monoclinic
32955,mp-bcjv,0.6210999999999991,False,orthorhombic
32956,mp-bcoq,0.9116000000000001,False,trigonal
32957,mp-bqync,1.9375,True,trigonal
32958,mp-cukdd,0.47489999999999905,False,monoclinic
32959,mp-cvapq,0.055299999999999,False,triclinic
32960,mp-brngt,0.7120000000000001,False,monoclinic
32961,mp-brokj,0.032,False,monoclinic
32962,mp-bfrhu,1.3307,False,monoclinic
32963,mp-bmjrg,1.4055,False,monoclinic
32964,mp-bqwmq,2.3369,False,tetragonal
32965,mp-bnab,3.3586,False,monoclinic
32966,mp-bvxn,4.1209,False,triclinic
32967,mp-bhfya,3.0106,False,monoclinic
32968,mp-bhgcn,4.1505,False,triclinic
32969,mp-bqwiv,2.7962,False,monoclinic
32970,mp-bqwmu,3.7653,False,triclinic
32971,mp-bqwsp,4.1867,False,triclinic
32972,mp-bqxio,2.4802,False,orthorhombic
32973,mp-bqxlg,4.3848,False,monoclinic
32974,mp-brdti,4.3074,False,monoclinic
32975,mp-brmkm,3.4846,True,monoclinic
32976,mp-bromu,0.714699999999999,False,monoclinic
32977,mp-bronw,4.6702,False,triclinic
32978,mp-bsgpq,4.1252,False,monoclinic
32979,mp-bsimg,4.3398,False,monoclinic
32980,mp-cotea,4.1348,False,triclinic
32981,mp-blov,4.0398,False,triclinic
32982,mp-bfoew,3.7462,True,orthorhombic
32983,mp-brwhb,2.1298999999999992,False,monoclinic
32984,mp-bqzgb,2.4454000000000002,False,monoclinic
32985,mp-breie,2.334399999999999,True,orthorhombic
32986,mp-bsacw,1.5627,False,tetragonal
32987,mp-csvsz,2.723,False,triclinic
32988,mp-csvwe,2.461,False,triclinic
32989,mp-cswbg,2.735999999999999,False,triclinic
32990,mp-csweh,2.7845,True,triclinic
32991,mp-cxk,4.8986,False,cubic
32992,mp-braew,5.4351,True,orthorhombic
32993,mp-bftxo,1.6379000000000001,True,hexagonal
32994,mp-bgj,1.974299999999999,False,hexagonal
32995,mp-cqeme,3.7626,False,monoclinic
32996,mp-cqiyg,5.6516,True,cubic
32997,mp-bptoz,5.3519,True,trigonal
32998,mp-bjcci,1.188799999999999,False,orthorhombic
32999,mp-bqwew,3.0779,False,monoclinic
33000,mp-brdgc,2.844999999999999,False,monoclinic
33001,mp-brjqv,3.2534,False,trigonal
33002,mp-brctl,3.0138,False,triclinic
33003,mp-brbiz,4.1699,False,monoclinic
