name,entry_id,spacegroup,ntypes,band_gap,delta_e,stability
LaAlO3,5555,R-3m,3,3.615,-3.55336915352725,0.007793394999999759
NdAlO3,6610,R-3m,3,3.123,-3.48295229652725,0.029636707999999956
VCl2O,4619,Immm,3,0.974,-1.8261710756004,0.0
Na3ClO,12273,Pm-3m,3,2.245,-1.67997326681056,0.0038156445000099293
NaVO2,26834,C2/m,3,1.527,-2.40415364197344,0.0034284224999998614
RbTlO2,6278,R-3m,3,1.151,-1.18965219418938,0.0
NaTaO3,5553,Cmmm,3,2.55,-2.91481871169758,0.016702707000000316
Li3BrO,12263,Pm-3m,3,4.663,-1.84262149665892,0.03827599500000023
BaPaO3,11467,Pm-3m,3,1.848,-3.07863041152725,0.0738866869999999
PrAlO3,6609,R-3m,3,3.03,-3.47900221302725,0.02057474800000003
KTaO3,7149,Pm-3m,3,2.362,-2.91873576252725,0.002115723999999819
K3BrO,6392,Pm-3m,3,1.181,-1.48715219565892,0.0011044860000000156
CaTiO3,6126,Pm-3m,3,1.881,-3.2903997162845,0.07691754299999998
SrNbO3,7656,Pm-3m,3,0.0,-3.01246457352725,0.009130823500000051
ZrTaNO,13639,P-6m2,4,0.0,-1.28002739030557,0.9005033695833291
SrCrO3,18946,Pm-3m,3,0.0,-2.5299322553791,0.09785064931250487
HfPbO3,20456,Pm-3m,3,2.718,-2.79935192852725,0.041797294000003316
BaTiO3,13238,R3m,3,2.206,-3.28668699628451,0.00243684599999483
LaAlO3,6611,R-3m,3,3.713,-3.55342719152725,0.00773535699999961
RbUO3,16895,Pm-3m,3,2.997,-3.11086555603207,0.003119442000000028
LaCrO3,7410,Pm-3m,3,1.81,-3.0812347813791,0.0868570824999999
NdVO3,5640,Pm-3m,3,0.0,-2.95933658758417,0.23663127950000984
SrHgO2,20905,R-3m,3,2.394,-1.88784440918094,0.0
KNbO3,2517,P4mm,3,1.727,-2.69277059652725,0.005635458000003091
Ca3SnO,22278,Pm-3m,3,0.0,-1.74723239254599,0.00021867799999997217
KUO3,8436,Pm-3m,3,2.996,-3.13726971903207,0.0025242924999999694
Rb3AuO,13573,Pm-3m,3,0.24,-0.771227977175751,0.011782656000000058
CeVO3,5638,Pm-3m,3,0.0,-2.98208725408417,0.17691170400000988
PrVO3,5639,Pm-3m,3,0.0,-2.97248840808417,0.20829378950000477
NaRhO2,12126,R-3m,3,1.286,-1.36083727065229,0.0019501924999989484
NaCNO,5255,R3m,4,4.691,-1.12822676739348,0.0
Li2NiO2,13268,P-3m1,3,4.07,-1.69025944163904,0.001408984000000002
LaTiO3,5628,Pm-3m,3,0.0,-3.4135604062845,0.06913008225000183
CeCrO3,5642,Pm-3m,3,1.619,-2.9919613868791,0.09022552350000002
BaMoO3,8209,Pm-3m,3,0.0,-2.58380821952725,0.013064223741929837
InBiO3,20168,Pm-3m,3,0.0,-1.17726902452725,0.48176952137499995
LaVO3,5637,Pm-3m,3,0.0,-3.08124856058417,0.1668879904999998
NbAgO3,9999,Pm-3m,3,1.599,-1.98946144302725,0.06919872314285991
NdCrO3,5644,Pm-3m,3,1.794,-2.9764818243791,0.14523905300000006
Yb2SO2,19147,P-3m1,3,0.0,-2.28089919115417,0.6426905317500058
RbO,4778,Immm,2,2.11,-1.20215315543938,0.0
TiPbO3,19719,Pm-3m,3,1.572,-2.49302405228451,0.02465899299999519
SmCrO3,5645,Pm-3m,3,1.754,-2.9508059828791,0.20013975400000028
LaAlO3,19752,Pm-3m,3,3.585,-3.55441258352725,0.00674996499999958
PrCrO3,5643,Pm-3m,3,1.906,-2.9864463688791,0.11756276799999998
NaTiO2,8092,R-3m,3,0.0,-2.67627829159886,0.01351715874999515
KTlO2,6277,R-3m,3,1.249,-1.25599002043938,0.0
BaFeO3,5630,R-3m,3,0.0,-2.0918701572101,0.034918333333330054
BaPuO3,8208,Pm-3m,3,2.125,-3.26498145051591,0.03831848600000276
LiCuO2,13475,C2/m,3,0.632,-1.31686260086113,0.016539318124997093
SrRuO3,23872,P4/mmm,3,0.0,-1.97952143952725,0.04445784150000187
NaRuO2,21623,R-3m,3,0.0,-1.30902120065229,0.09319012281249983
MgH2O2,6441,P-3m1,3,4.612,-1.91129370305851,0.0
NaMoO2,21175,R-3m,3,0.0,-1.85261917065229,0.1715219124999996
Ba3SnO,22279,Pm-3m,3,0.0,-1.49516659054599,0.00066289850000123
TlClO3,13758,R3m,3,4.593,-0.613296185651077,0.038046817333333816
SrTcO3,19000,Pm-3m,3,0.0,-2.28878191852725,0.005862834999999844
BaTiO3,5424,Pm-3m,3,1.689,-3.27980267828451,0.00932116399999483
BaFeO3,5676,Pm-3m,3,0.0,-2.0952342452101,0.0315542453333304
Li2NiO2,12776,P-3m1,3,4.067,-1.69166842563904,0.0
AgCNO,5379,Cmmm,4,0.0,2.15983326594443,2.744083940790678
CdH2O2,20960,P-3m1,3,1.911,-1.20159365722517,0.009959062999999935
AgNO2,4461,Imm2,3,1.445,-0.390726903650254,0.06166922128678981
TiPbO3,1960,P4mm,3,1.589,-2.51383684028451,0.0038462049999954395
Lu2SO2,19148,P-3m1,3,3.285,-3.47948282515417,0.00020718600000035892
MnH2O2,4364,P-3m1,3,1.806,-1.54004162166755,0.0
OsCl2O,15020,Immm,3,0.0,-0.93941850927925,0.009288678749999724
BaTiO3,3105,P4mm,3,1.69,-3.28392896228451,0.005194879999995017
TlIO3,11567,R3m,3,2.587,-0.831032483012916,0.0
BaTiO3,5423,P4/mmm,3,1.685,-3.28005576628451,0.009068075999994818
SrRuO3,12601,Pm-3m,3,0.0,-1.97839252552725,0.0455867555000018
LaFeO3,5683,Pm-3m,3,0.0,-2.6556227252101,0.0991626955000009
LaMnO3,5684,Pm-3m,3,0.0,-2.85875525796963,0.07339288349999995
SrHfO3,5696,Pm-3m,3,3.85,-3.61735319052725,0.03563250699999987
SrMoO3,12884,Pm-3m,3,0.0,-2.60904363552725,0.0281843241812747
CeAlO3,23143,Pm-3m,3,3.139,-3.46955834902725,0.009464364999999919
SrHfO3,20449,P4mm,3,4.008,-3.61721992252725,0.03576577499999978
CaZrO3,5651,Pm-3m,3,3.453,-3.31909612552725,0.19794857750000006
Rb3BrO,13911,Pm-3m,3,0.48,-1.41145698265892,0.019319772999999874
KScO2,6483,R-3m,3,3.912,-2.96539449043938,0.000864462499996943
TlBrO3,13865,R3m,3,3.143,-0.52222153401042,0.034054839912124435
TlIO3,13866,R-3m,3,0.0,-0.590331865012916,0.24070061799999998
NaO3,15265,Imm2,2,0.0,-0.882153072121978,0.0
Yb3PbO,25799,Pm-3m,3,0.0,-1.80402492517575,0.0
AlBiO3,20086,Pm-3m,3,1.819,-2.26260567452725,0.1256798251250002
GaBiO3,20087,Pm-3m,3,1.469,-1.57269609752725,0.22575116787499994
SrSnO3,5220,Pm-3m,3,1.719,-2.44399317889749,0.05115691250000021
CaSnO3,5694,Pm-3m,3,1.996,-2.34428187689749,0.20158403300000005
Yb3SnO,25798,Pm-3m,3,0.0,-1.89604919854599,0.0
SrRuO3,20057,Pm-3m,3,0.0,-1.97766478752725,0.04631449350000194
BaTbO3,16880,P4/mmm,3,0.0,-2.79522049246059,0.16769759649999694
BaSnO3,5222,Pm-3m,3,1.013,-2.43842749489749,0.004159134000000009
SrTiO3,4199,Pm-3m,3,1.887,-3.35096099028451,0.0030707909999945215
Sr3SnO,22643,Pm-3m,3,0.0,-1.61672184654599,0.0
SrZrO3,5219,Pm-3m,3,3.553,-3.44306304152725,0.05846878450000004
BaZrO3,5221,Pm-3m,3,3.317,-3.47419320952725,0.003656786000002299
K2HgO2,5331,I4/mmm,3,2.267,-1.22678022734476,0.0
RbBrO3,13400,R3m,3,3.761,-0.93740615301042,0.0
BaThO3,5679,Pm-3m,3,3.273,-3.51663968877575,0.11461530850000035
Er2SO2,19146,P-3m1,3,3.295,-3.46115662715417,0.00022782600000015307
K3IO,6770,Pm-3m,3,1.314,-1.37038369266141,0.00038586166667009536
KIO3,16709,R3m,3,2.3,-1.22501325101292,0.00904521049999607
CsBrO3,13401,R3m,3,4.077,-0.950553481010419,0.0
Pr2SeO2,16327,P-3m1,3,2.469,-3.1522166693515,0.0011461740000018317
Ba3PbO,17034,Pm-3m,3,0.0,-1.43871206717575,0.0
Li2PdO2,3756,Immm,3,1.239,-1.5223116763515,0.0
CaTiO3,6125,Cmmm,3,1.879,-3.29324723228451,0.0740700269999901
BaTiO3,5984,Amm2,3,1.941,-3.28539708228451,0.003726759999994833
Tb2O3,20293,P-3m1,2,4.338,-3.50383387539392,0.05643365424999969
FeBiO3,3855,R-3m,3,0.0,-1.3564198542101,0.21264508212499744
TiPbO3,5682,P4/mmm,3,1.478,-2.49109450028451,0.02658854499999519
NaWO3,5500,Pm-3m,3,0.0,-2.37749825969758,0.0030079245000029786
Dy2O3,20294,P-3m1,2,4.402,-3.78775973819392,0.062273314750000086
Gd2O3,20292,P-3m1,2,4.256,-3.74186562252725,0.0507620339999999
Tm2O3,20297,P-3m1,2,4.468,-3.85003795152725,0.0818068525000002
KErO2,5204,R-3m,3,4.274,-3.01216667668938,0.0
Ho2O3,20295,P-3m1,2,4.468,-3.80601544686059,0.06812043424999015
Sr3PbO,17033,Pm-3m,3,0.0,-1.54423797717575,0.0
Li2MnO2,6899,P-3m1,3,2.92,-2.00660602079388,0.004159293124899932
TaSnO3,5247,Pm-3m,3,0.0,-2.21860477689749,0.31946158552569637
RbClO3,2694,R3m,3,5.25,-1.03987081265108,0.024926683874996636
CaSnO3,5392,Pm-3m,3,0.0,-1.04150576889749,1.5043601409999998
FeBiO3,3890,R-3m,3,0.0,-1.3560308882101,0.2130340481249975
Ca3PbO,17032,Pm-3m,3,0.0,-1.65921205117575,0.0
CaSiO3,7321,Pm-3m,3,4.027,-3.05266491652725,0.2394366593333399
ZrPbO3,24061,Pm-3m,3,2.761,-2.63315978952725,0.07960280800000508
K3AuO,14248,Pm-3m,3,0.658,-0.846912602175751,0.0005807399999998575
AgNO3,6520,R3m,3,1.523,-0.507866316095954,0.03500903599999994
BaNpO3,11468,P4/mmm,3,2.366,-3.33861833117575,0.0508032590000016
Nd2SO2,6174,P-3m1,3,3.06,-3.30530860715417,0.0008372379999999069
Tm2SO2,30894,P-3m1,3,3.34,-3.47703852515417,0.0
SrFeO3,20661,Pm-3m,3,0.0,-2.1872140252101,0.0011524429999996144
Gd2BiO2,23917,I4/mmm,3,0.0,-2.8531922763515,0.0
Er2O3,20296,P-3m1,2,4.529,-3.82271995152725,0.07392395900000004
NaNbO3,5544,Pm-3m,3,1.748,-2.66581874569758,0.0397378220000002
Nd2TeO2,4145,I4/mmm,3,1.821,-3.05263696301817,0.001570722000000302
ScAgO2,27098,R-3m,3,2.348,-2.49058437606438,0.0026744924999997366
KIO3,5541,Pm-3m,3,0.0,-1.03733270701292,0.19672575449999607
Ho2SO2,19145,P-3m1,3,3.229,-3.45242714648751,0.00041579200000008143
GeO2,2476,P42/mnm,2,1.906,-1.88885828891917,0.0017017608333325107
Nd2O3,5470,P-3m1,2,4.049,-3.59014328752725,0.03028442050000013
