name,entry_id,spacegroup,ntypes,band_gap,delta_e
SrHfO3,5696,Pm-3m,3,3.85,-3.61735319052725
SrMoO3,12884,Pm-3m,3,0.0,-2.60904363552725
CeAlO3,23143,Pm-3m,3,3.139,-3.46955834902725
SrHfO3,20449,P4mm,3,4.008,-3.61721992252725
CaZrO3,5651,Pm-3m,3,3.453,-3.31909612552725
Rb3BrO,13911,Pm-3m,3,0.48,-1.41145698265892
KScO2,6483,R-3m,3,3.912,-2.96539449043938
TlBrO3,13865,R3m,3,3.143,-0.52222153401042
TlIO3,13866,R-3m,3,0.0,-0.590331865012916
NaO3,15265,Imm2,2,0.0,-0.882153072121978
Yb3PbO,25799,Pm-3m,3,0.0,-1.80402492517575
AlBiO3,20086,Pm-3m,3,1.819,-2.26260567452725
GaBiO3,20087,Pm-3m,3,1.469,-1.57269609752725
SrSnO3,5220,Pm-3m,3,1.719,-2.44399317889749
CaSnO3,5694,Pm-3m,3,1.996,-2.34428187689749
Yb3SnO,25798,Pm-3m,3,0.0,-1.89604919854599
SrRuO3,20057,Pm-3m,3,0.0,-1.97766478752725
BaTbO3,16880,P4/mmm,3,0.0,-2.79522049246059
BaSnO3,5222,Pm-3m,3,1.013,-2.43842749489749
SrTiO3,4199,Pm-3m,3,1.887,-3.35096099028451
Sr3SnO,22643,Pm-3m,3,0.0,-1.61672184654599
SrZrO3,5219,Pm-3m,3,3.553,-3.44306304152725
BaZrO3,5221,Pm-3m,3,3.317,-3.47419320952725
K2HgO2,5331,I4/mmm,3,2.267,-1.22678022734476
RbBrO3,13400,R3m,3,3.761,-0.93740615301042
BaThO3,5679,Pm-3m,3,3.273,-3.51663968877575
Er2SO2,19146,P-3m1,3,3.295,-3.46115662715417
K3IO,6770,Pm-3m,3,1.314,-1.37038369266141
KIO3,16709,R3m,3,2.3,-1.22501325101292
CsBrO3,13401,R3m,3,4.077,-0.950553481010419
Pr2SeO2,16327,P-3m1,3,2.469,-3.1522166693515
Ba3PbO,17034,Pm-3m,3,0.0,-1.43871206717575
Li2PdO2,3756,Immm,3,1.239,-1.5223116763515
CaTiO3,6125,Cmmm,3,1.879,-3.29324723228451
BaTiO3,5984,Amm2,3,1.941,-3.28539708228451
Tb2O3,20293,P-3m1,2,4.338,-3.50383387539392
FeBiO3,3855,R-3m,3,0.0,-1.3564198542101
TiPbO3,5682,P4/mmm,3,1.478,-2.49109450028451
NaWO3,5500,Pm-3m,3,0.0,-2.37749825969758
Dy2O3,20294,P-3m1,2,4.402,-3.78775973819392
Gd2O3,20292,P-3m1,2,4.256,-3.74186562252725
Tm2O3,20297,P-3m1,2,4.468,-3.85003795152725
KErO2,5204,R-3m,3,4.274,-3.01216667668938
Ho2O3,20295,P-3m1,2,4.468,-3.80601544686059
Sr3PbO,17033,Pm-3m,3,0.0,-1.54423797717575
Li2MnO2,6899,P-3m1,3,2.92,-2.00660602079388
TaSnO3,5247,Pm-3m,3,0.0,-2.21860477689749
RbClO3,2694,R3m,3,5.25,-1.03987081265108
CaSnO3,5392,Pm-3m,3,0.0,-1.04150576889749
FeBiO3,3890,R-3m,3,0.0,-1.3560308882101
Ca3PbO,17032,Pm-3m,3,0.0,-1.65921205117575
CaSiO3,7321,Pm-3m,3,4.027,-3.05266491652725
ZrPbO3,24061,Pm-3m,3,2.761,-2.63315978952725
K3AuO,14248,Pm-3m,3,0.658,-0.846912602175751
AgNO3,6520,R3m,3,1.523,-0.507866316095954
BaNpO3,11468,P4/mmm,3,2.366,-3.33861833117575
Nd2SO2,6174,P-3m1,3,3.06,-3.30530860715417
Tm2SO2,30894,P-3m1,3,3.34,-3.47703852515417
SrFeO3,20661,Pm-3m,3,0.0,-2.1872140252101
Gd2BiO2,23917,I4/mmm,3,0.0,-2.8531922763515
Er2O3,20296,P-3m1,2,4.529,-3.82271995152725
NaNbO3,5544,Pm-3m,3,1.748,-2.66581874569758
Nd2TeO2,4145,I4/mmm,3,1.821,-3.05263696301817
ScAgO2,27098,R-3m,3,2.348,-2.49058437606438
KIO3,5541,Pm-3m,3,0.0,-1.03733270701292
Ho2SO2,19145,P-3m1,3,3.229,-3.45242714648751
GeO2,2476,P42/mnm,2,1.906,-1.88885828891917
Nd2O3,5470,P-3m1,2,4.049,-3.59014328752725
Yb2SO2,4357,Cmm2,3,0.0,-1.25341966715417
Y2SO2,19839,P-3m1,3,3.246,-3.40174580115417
CrHO2,1904,R3m,3,2.84,-2.02700047330024
BaCeO3,5678,P4/mmm,3,0.0,-2.66969925902725
LaCuO2,3696,R-3m,3,3.16,-2.60254310336113
Lu2O3,20298,P-3m1,2,4.472,-3.86784545552725
Sm2O3,20291,P-3m1,2,4.304,-3.66320292452725
KLaO2,5203,R-3m,3,3.962,-2.87337270668938
Ho2SeO2,4852,P-3m1,3,2.224,-3.30419831968483
TiO2,2475,P42/mnm,2,1.745,-3.21575255518126
SnO2,2477,P42/mnm,2,1.201,-1.95348513953624
CeGaO3,13652,Pm-3m,3,0.0,-1.32906246602725
BiOF,4524,P4/nmm,3,3.494,-2.09017786333662
SmCuO2,3699,R-3m,3,3.123,-2.57170282773613
EuCuO2,3700,R-3m,3,0.0,-2.03705984836113
TiCdO3,6317,Pm-3m,3,0.0,-0.489732622284506
Pr2SO2,19141,P-3m1,3,3.114,-3.27424789015417
Tb2SO2,19143,P-3m1,3,3.137,-3.16724036702084
K2NiO2,4050,I4/mmm,3,2.939,-1.31073326563904
NdCuO2,3698,R-3m,3,3.097,-2.52544053711113
RuCl2O,15019,Immm,3,0.0,-0.99057673177925
NiAg2O2,26237,C2/m,3,0.0,-0.576018266639038
PrCuO2,3697,R-3m,3,3.158,-2.49943643273613
Yb2SeO2,4853,P-3m1,3,0.0,-2.2990017683515
Y2BiO2,23908,I4/mmm,3,0.0,-2.8354411133515
CrPbO3,20288,P4/mmm,3,0.0,-1.7222623133791
CaH2O2,3112,P-3m1,3,4.402,-2.06746166122517
Y2O3,20290,P-3m1,2,4.375,-3.73715441152725
Sm2SO2,30893,P-3m1,3,3.091,-3.35580268215417
Gd2SO2,30396,P-3m1,3,3.128,-3.41419394415417
LaGaO3,13651,Pm-3m,3,0.0,-1.48675240852725
NiH2O2,5455,P-3m1,3,3.844,-1.20308925851271
Ho2BiO2,23914,I4/mmm,3,0.0,-2.88547027068483
Rb2NiO2,12124,I4/mmm,3,2.823,-1.26725817163904
La2SO2,2902,P-3m1,3,3.262,-3.41007021915417
VPbO3,19572,P4mm,3,1.001,-2.05965225658418
Ce2O3,19840,P-3m1,2,3.967,-3.49303088452725
FeBiO3,21380,Cm,3,1.27,-1.5341249882101
KNbO3,2928,Amm2,3,2.041,-2.69421751252725
La2BiO2,27120,I4/mmm,3,0.0,-2.8730054873515
CuCO3,2420,Cm,3,0.0,-1.00074541336465
Er2BiO2,27122,I4/mmm,3,0.0,-2.8908573753515
Pm2O3,16543,P-3m1,2,4.003,-3.64103890052725
Ce2TeO2,15784,I4/mmm,3,1.955,-3.00022148601817
Pr2TeO2,15785,I4/mmm,3,1.916,-3.03048663201817
Gd2TeO2,15788,I4/mmm,3,1.337,-3.12949487801817
Tb2TeO2,15789,I4/mmm,3,1.409,-2.87509239088484
Dy2TeO2,15790,I4/mmm,3,1.189,-3.14364575968484
Pr2O3,11434,P-3m1,2,3.917,-3.54718636852725
Eu3InO,26141,Pm-3m,3,0.0,-1.65346064117575
BaCO3,20156,R3m,3,4.72,-2.49308554502725
Rb2HgO2,4773,I4/mmm,3,2.297,-1.18340044734476
CdCO3,6313,R-3m,3,0.0,1.37439397497275
KBrO3,6314,R3m,3,3.518,-0.93279060401042
La2TeO2,5206,I4/mmm,3,2.221,-3.19530135301817
YOF,13755,P4/nmm,3,5.183,-4.12227491000329
ScBrO,21705,Pmmn,3,3.516,-3.03152073443153
PuOF,13757,P4/nmm,3,2.134,-4.00921231165105
ThSO,6069,P4/nmm,3,1.323,-3.36612627371153
Bi2O3,21434,P-4m2,2,0.222,-1.30546709752725
USO,6070,P4/nmm,3,0.0,-2.94522834913873
TiBrO,2741,Pmmn,3,0.0,-2.36422751736028
AcBrO,6074,P4/nmm,3,4.281,-3.2379598585982
PuClO,6075,P4/nmm,3,1.944,-3.27613849548039
SmBrO,22741,P4/nmm,3,4.637,-3.1404287435982
PuBrO,6076,P4/nmm,3,2.13,-3.08655572441263
YClO,6080,P4/nmm,3,5.173,-3.30549479716596
Sr2CuO3,3008,Immm,3,0.0,-2.30516083655388
CrO2,2509,P42/mnm,2,0.0,-2.11003686033892
FeClO,3292,Pmmn,3,1.552,-1.43817984163737
VClO,2027,Pmmn,3,1.471,-2.23936611226083
Cs2CuO2,7119,I4/mmm,3,0.0,-0.176314778688901
LiO2,22225,Pnnm,2,0.0,-1.19215858558584
SnO,3949,Pmn21,2,1.19,-1.43756407886498
LaCO,1727,C2/m,3,3.003,-2.06453649945959
BeSO4,3597,I-4,3,7.339,-2.15820149958806
Sm2BiO2,23911,I4/mmm,3,0.0,-2.7992905803515
TmIO,3090,P4/nmm,3,3.482,-2.93771553610236
Li2CuO2,22072,P1,3,0.0,-1.5085311386889
ZrPbO3,7137,Amm2,3,2.939,-2.67771135352725
TiO2,2575,I41/amd,2,1.965,-3.24264089184792
Ca2CuO3,3350,Immm,3,0.0,-2.41303638488721
LiHO,5357,P4/nmm,3,4.575,-1.68527457935431
BaTi2As2O,21481,P4/mmm,4,0.0,-1.66310053724188
UTeO,4126,P4/nmm,3,0.0,-2.44006683057873
GeO2,20164,Pnnm,2,2.045,-1.8856473122525
RuO2,15120,Pnnm,2,0.0,-1.2651917072525
CsCuO,6839,Ama2,3,1.558,-1.16083002918858
Ba2CuClO2,1819,R-3m,4,2.865,-2.34353777984394
Tl2O,3353,R-3m,2,0.599,-0.721638788626252
Ce2SO2,6059,P-3m1,3,3.006,-3.23541015215417
NaO2,5050,Pnnm,2,0.0,-1.04252622420305
CrO2,19968,Pnnm,2,0.0,-2.10580611533892
AlAsO4,4652,I-4,3,4.515,-2.20556820308584
AlPO4,4651,I-4,3,6.329,-2.93638531207916
Ce2BiO2,26740,I4/mmm,3,0.0,-2.6873478903515
Ta2N3O,22470,P6/mmm,3,0.0,-0.608746105318212
CO2,19213,P42/mnm,2,6.457,-1.47327700141917
MoO2,16924,P42/mnm,2,0.0,-2.09888737558584
GdBrO,7412,P4/nmm,3,4.477,-3.1749866735982
La2O3,10085,P-3m1,2,3.937,-3.68733518552725
Nd2BiO2,27121,I4/mmm,3,0.0,-2.7531908213515
Bi2SeO2,2330,I4/mmm,3,0.0,-0.304799076351502
Pr2BiO2,26741,I4/mmm,3,0.0,-2.7253531683515
NaIO3,6315,Cmmm,3,0.0,-0.117738130183246
MnO2,1696,P42/mnm,2,0.0,-1.71197964632313
SiO2,6607,Fd-3m,2,5.596,-3.07278504891917
Eu2SO2,19142,P-3m1,3,0.0,-2.30365756915417
Sr2CuBrO2,11994,R-3m,4,2.915,-2.31450744181006
ThSeO,5082,P4/nmm,3,0.996,-3.15726164404041
LaBrO,7411,P4/nmm,3,3.785,-3.24730286276486
USeO,4829,P4/nmm,3,0.0,-2.73770347946762
PrIO,22549,P4/nmm,3,3.693,-2.86142122360236
HfO2,22054,P42/nmc,2,4.876,-3.78602768558584
ZrSO,6682,P4/nmm,3,1.046,-2.66345359496404
BAsO4,5164,I-4,3,4.566,-1.93794051641917
NdOF,16449,R-3m,3,4.78,-4.05736582833662
AlPO4,20217,P2/m,3,3.538,-2.61049709041249
CrClO,2355,Pmmn,3,1.623,-2.08668948525238
Pb2O,5612,Pn-3m,2,0.0,-0.545705325292918
BPO4,5163,I-4,3,7.644,-2.61398028041249
LaClO,7233,P4/nmm,3,4.177,-3.43427342216596
IrO2,10054,P42/mnm,2,0.0,-1.06432126558584
TaO2,13645,P42/mnm,2,0.0,-2.85345085058584
AlClO,5397,Pmmn,3,5.932,-2.60759724049929
UO3,6056,P-3m1,2,1.995,-2.99439397504009
Cu2O,5184,Pn-3m,2,0.756,-0.683983191417584
U2TeO2,18960,I4/mmm,3,0.0,-2.69170551402781
GdClO,11075,P4/nmm,3,5.002,-3.34413563966596
BiBrO,4670,P4/nmm,3,2.323,-1.37850170776486
SrSO4,4411,F-43m,3,4.257,-2.32857550125473
CO2,19214,Pnnm,2,6.453,-1.47491443641917
AgClO4,16987,I-42m,3,2.857,-0.281476497772357
Ag2O,5968,Pn-3m,2,0.198,-0.233670535292918
BaMn2O3,2635,Immm,3,0.385000000000001,-2.28144063367667
Li4NO,22380,P4/mmm,3,0.0,-1.01740883687038
CeClO,12899,P4/nmm,3,4.686,-3.27014564466596
KNaO,6229,P4/nmm,3,2.632,-1.28073442391013
K4NO,22394,P4/mmm,3,0.0,-0.231542106870377
VBrO,5209,Pmmn,3,1.351,-2.0471650195264
NbO,2921,Pm-3m,2,0.0,-2.15495713460604
EuIO,5375,P4/nmm,3,0.0,-2.09401266943569
YOF,2904,R-3m,3,5.315,-4.12752504166995
NaHO,5140,Cmcm,3,3.276,-1.49609502630486
SrCu2O3,26341,Cmmm,3,0.0,-1.57049137183504
Na4NO,22387,P4/mmm,3,0.0,-0.493113137438142
HoClO,13689,P4/nmm,3,5.19,-3.34403138327707
Ba2PdO3,22840,Immm,3,0.0,-2.13886424460604
NpSeO,26960,P4/nmm,3,0.0,-2.44189438304041
NpIO,22563,P4/nmm,3,1.479,-2.74030675884986
VO2,4730,P42/mnm,2,0.915,-2.50129893068071
VO2,15757,P2/m,2,0.92,-2.50261509401404
LiUO3,4159,R-3m,3,3.244,-2.91885696403207
RbHO,11397,Cmc21,3,3.881,-1.42700016768764
RbHO,11398,P21/m,3,3.437,-1.41697665102098
UCdO4,4998,Cmmm,3,2.924,-2.54592165767318
